Job Title,Years of Healthcare Experience,Years Using Digital Tools,Organization,Facility Location,Organization Size(No of patients),Comfort with Digital Technology,Facility Using EMR,Level of EMR Use ,EMR Proficiency,Satisfaction with Digital Tools,Familiarity with Other Digital Tools ,Known Digital Tools,Daily Use of Digital Tool,Tasks with DH Tools,Benefits of Digital Tools,Impact on Workflow and productivity,Challenges while using Digital health Tools,Select what your second Challenge is,Select your third challenge,Training and Support on using Digital tools ,Quality of Training,Impact of Digital Tools on Patient Care,Improvements in Patient Outcomes,Barriers to Adoption,Privacy and Security Concerns ,Top Privacy Concerns,Suggestions for Improvement,Additional Comments,Perception of Digital Tools,Belief in Improvement in patient care and outcomes,"If yes, why or how? ",Advantages of Digital Tools,Struggles with Digital Tools,Access to Hardware and Software,Ease and Efficiency with Digital Tools,Supportive Technology Infrastructure,Access to IT Support and Training,Seeking Help while using Digital Tools,Help Effectiveness and Issue Resolution,Motivation to Improve Digital Skills,Openness to Further Training,Resources for Becoming Proficient
Doctor,0 - 5 years,3,Clafiya,Lagos,50,5,Yes,4,5,4,Yes,"Electronic Medical/Health records, Telemedicine Platforms, e-Prescription, Health Monitoring devices, Mobile health apps",Yes,To document patients records,"Improved Patient care and Patient engagement, Expanded reach, Data Analysis and Decision support",Significantly Improved,Integration with Existing workflow,Resistance to change by health providers,Interoperability,Yes,5,Improved access to care,Yes,Resistance to Change,No,----,"user friendly, interoperability, CDS ",Get the buy-in of major stakeholders and involve them when building products and build products that can be well integrated to existing workflows,,Yes,,,,Yes,Yes,Yes,Yes,No,,,,
Doctor,0 - 5 years,3,Private hospital,Lagos,200,3,No,1,3,3,Yes,"Electronic Medical/Health records, Telemedicine Platforms, Mobile health apps, Medical billing software",No,,"Improved Patient care and Patient engagement, Efficient Record keeping, Data Analysis and Decision support",Significantly Improved,Poor user experience / Interface,Resistance to change by health providers,,No,1,Improved accuracy and reduced errors,Yes,Resistance to Change,Yes,Access of patients personal information by non medical team,Providing ergonomic chairs,Nil,Increases Efficiency and Productivity,Yes,,,Time,No,No,No,No,No,,Yes,Yes,Ergonomic chairs
Nurse,0 - 5 years,2,Clafiya limited,Lagos,50,5,Yes,4,5,5,Yes,"Electronic Medical/Health records, Telemedicine Platforms, Mobile health apps, Medical Imaging Technology, Healthcare Chatbots and Virtual Assistants",Yes,"Documentation, consultation and diagnosis","Improved Patient care and Patient engagement, Data Analysis and Decision support, Data Security and privacy",Significantly Improved,Health Disparities ,Technical Issues,Poor user experience / Interface,No,,Improved access to care,Yes,"Inadequate Technological Infrastructure (slow internet connections, outdated hardware)",Yes,Encrypted message channels,Healthcare sensitization,No,"Increases Efficiency and Productivity, Enhanced Communication and Collaboration among health professionals, Increases Patient Engagement",Yes,,,Excellent,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fast internet connection and support on medical equipment and materials
Doctor,0 - 5 years,1,"General hospital Odan, Island maternity , Abby’s Peadiatrics ",Lagos,1000,5,No,1,5,5,Yes,"Electronic Medical/Health records, Health Monitoring devices",No,,"Improved Patient care and Patient engagement, Efficient Record keeping, Streamlined workflow",Significantly Improved,Technical Issues,Health Disparities ,,Yes,4,Efficient communication,Yes,Resistance to Change,No,,Can be less expensive,No,"Increases Efficiency and Productivity, Remote Monitoring and Telemedicine, Enhanced Communication and Collaboration among health professionals",Yes,,,Nil,No,Yes,Yes,No,No,,Yes,Yes,.
Doctor,0 - 5 years,3,FMCA,Ogun,1000,5,Yes,4,5,5,Yes,"Electronic Medical/Health records, Telemedicine Platforms, Mobile health apps",No,,"Improved Patient care and Patient engagement, Efficient Record keeping, Data Analysis and Decision support",Significantly Improved,Technical Issues,Patient Data access and ownership,"Integration with Existing workflow, Cost of digital tools",Yes,5,Reduced admin burden,Yes,Poor User Experience and Interface,No,,More Trainings and Capacity building sessions,No,"Increases Efficiency and Productivity, Improved Patient Care, Remote Monitoring and Telemedicine",Yes,,,Nil,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Good internet connection
Doctor,0 - 5 years,2,Private Hospitals,Lagos,300,5,Yes,4,5,5,Yes,"Electronic Medical/Health records, Telemedicine Platforms, e-Prescription, Health Monitoring devices, Mobile health apps",Yes,"Clerking, Prescribing Medications","Improved Patient care and Patient engagement, Efficient Record keeping, Streamlined workflow",Significantly Improved,Poor user experience / Interface,,,Yes,5,Patient satisfaction,No,"Inadequate Technological Infrastructure (slow internet connections, outdated hardware)",No,,Xx,Xx,"Increases Efficiency and Productivity, Improved Patient Care, Facilitates Data-Driven Decision Making",Yes,,,xx,Yes,Yes,Yes,Yes,No,,Yes,Yes,xx
Doctor,0 - 5 years,5,Nil,Lagos,0,5,No,4,5,5,Yes,"Electronic Medical/Health records, Telemedicine Platforms, e-Prescription, Health Monitoring devices, Mobile health apps, Medical billing software, Clinical Decision Support (CDS) Systems, Medical Imaging Technology",No,,"Improved Patient care and Patient engagement, Efficient Record keeping, Data Analysis and Decision support",Significantly Improved,Cost of digital tools,Resistance to change by health providers,Health Disparities ,Yes,5,Improved accuracy and reduced errors,Yes,Lack of Digital Literacy,No,,Funding,Nil,"Increases Efficiency and Productivity, Improved Patient Care, Remote Monitoring and Telemedicine",Yes,,,Nil,Yes,No,No,No,No,,Yes,Yes,Digital literacy
Nurse,0 - 5 years,3,VEDIC LIFECARE HOSPITAL,Lagos,100,4,Yes,4,5,4,Yes,"Electronic Medical/Health records, e-Prescription, Health Monitoring devices, Mobile health apps, Medical Imaging Technology",Yes,Patient documentation,"Efficient Record keeping, Data Analysis and Decision support, Streamlined workflow, Data Security and privacy",Significantly Improved,Technical Issues,,,Yes,4,Efficient communication,Yes,Lack of Digital Literacy,No,,Digital literacy,Healthcare practitioners should integrate digital tools  in the patient welfare,Increases Efficiency and Productivity,Yes,,,i am good in using digital tool,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Advance tutorials and latest models of computer gadgets
Doctor,0 - 5 years,4,Tertiary & Private,Abuja,40,5,Yes,3,5,5,Yes,"Electronic Medical/Health records, Telemedicine Platforms, e-Prescription, Mobile health apps",Yes,"Data capturing, diagnosis , investigations and prescriptions ","Improved Patient care and Patient engagement, Efficient Record keeping, Expanded reach, Data Security and privacy",Moderately Improved,Resistance to change by health providers,Cost of digital tools, Integration with Existing workflow,Yes,3,Improved accuracy and reduced errors,No,"Inadequate Technological Infrastructure (slow internet connections, outdated hardware)",No,,Staff Education/ Training,None,Increases Efficiency and Productivity,Yes,,,None,No,Yes,Yes,No,No,,Yes,Yes,Internet
Doctor,0 - 5 years,2,"General Hospital, Lagos Island",Lagos,1000,5,No,1,5,5,Yes,"Electronic Medical/Health records, Telemedicine Platforms, e-Prescription, Health Monitoring devices, Mobile health apps",No,,"Efficient Record keeping, Data Analysis and Decision support, Streamlined workflow",Significantly Improved,Resistance to change by health providers,Poor user experience / Interface,Health Disparities ,Yes,4,Efficient communication,Yes,Resistance to Change,No,,Take a leap of faith and start from somewhere,Adoption is now and it's a collective effort for improved effectiveness and efficiency,"Increases Efficiency and Productivity, Remote Monitoring and Telemedicine, Increases Patient Engagement",Yes,,,N/A,No,No,No,No,Yes,Yes,Yes,Yes,Continuous training and feedback acknowledgement
